method,seed,beam_size,max_input_length,answer_F1_normal,answer_F1_gold_oracle,support_F1_normal,support_F1_gold_oracle,joint_F1_normal,joint_F1_gold_oracle,support_title_recall_normal,support_title_recall_gold_oracle,delta_answer_F1,delta_support_F1,delta_joint_F1
agent_bsp_memory_bandit_retrieval,1,1,512,0.6351097883597885,0.6351097883597885,0.505,0.505,0.31955092592592593,0.31955092592592593,0.7316666666666667,0.7316666666666667,0.0,0.0,0.0
agent_bsp_memory_bandit_retrieval,2,1,512,0.6351097883597885,0.6351097883597885,0.505,0.505,0.31955092592592593,0.31955092592592593,0.7316666666666667,0.7316666666666667,0.0,0.0,0.0
agent_bsp_memory_bandit_retrieval,2,1,512,0.6351097883597885,0.6351097883597885,0.505,0.505,0.31955092592592593,0.31955092592592593,0.7316666666666667,0.7316666666666667,0.0,0.0,0.0
agent_bsp_memory_bandit_retrieval,2,1,512,0.6351097883597885,0.6351097883597885,0.505,0.505,0.31955092592592593,0.31955092592592593,0.7316666666666667,0.7316666666666667,0.0,0.0,0.0
agent_bsp_memory_bandit_retrieval,3,1,512,0.6351097883597885,0.6351097883597885,0.505,0.505,0.31955092592592593,0.31955092592592593,0.7316666666666667,0.7316666666666667,0.0,0.0,0.0
agent_bsp_memory_bandit_retrieval,3,1,512,0.6351097883597885,0.6351097883597885,0.505,0.505,0.31955092592592593,0.31955092592592593,0.7316666666666667,0.7316666666666667,0.0,0.0,0.0
agent_bsp_memory_bandit_retrieval,3,1,512,0.6351097883597885,0.6351097883597885,0.505,0.505,0.31955092592592593,0.31955092592592593,0.7316666666666667,0.7316666666666667,0.0,0.0,0.0
agent_bsp_memory_bandit_retrieval,4,1,512,0.6351097883597885,0.6351097883597885,0.505,0.505,0.31955092592592593,0.31955092592592593,0.7316666666666667,0.7316666666666667,0.0,0.0,0.0
agent_bsp_memory_bandit_retrieval,4,1,512,0.6351097883597885,0.6351097883597885,0.505,0.505,0.31955092592592593,0.31955092592592593,0.7316666666666667,0.7316666666666667,0.0,0.0,0.0
agent_bsp_memory_bandit_retrieval,4,1,512,0.6351097883597885,0.6351097883597885,0.505,0.505,0.31955092592592593,0.31955092592592593,0.7316666666666667,0.7316666666666667,0.0,0.0,0.0
agent_bsp_memory_bandit_strict,0,1,512,0.6351097883597885,0.6351097883597885,0.505,0.505,0.31955092592592593,0.31955092592592593,0.7316666666666667,0.7316666666666667,0.0,0.0,0.0
agent_bsp_memory_bandit_strict,0,1,512,0.6351097883597885,0.6351097883597885,0.505,0.505,0.31955092592592593,0.31955092592592593,0.7316666666666667,0.7316666666666667,0.0,0.0,0.0
agent_bsp_memory_bandit_strict,1,1,512,0.6351097883597885,0.6351097883597885,0.505,0.505,0.31955092592592593,0.31955092592592593,0.7316666666666667,0.7316666666666667,0.0,0.0,0.0
agent_bsp_memory_bandit_strict,1,1,512,0.6351097883597885,0.6351097883597885,0.505,0.505,0.31955092592592593,0.31955092592592593,0.7316666666666667,0.7316666666666667,0.0,0.0,0.0
agent_bsp_memory_bandit_strict,2,1,512,0.6351097883597885,0.6351097883597885,0.505,0.505,0.31955092592592593,0.31955092592592593,0.7316666666666667,0.7316666666666667,0.0,0.0,0.0
agent_bsp_memory_bandit_strict,2,1,512,0.6351097883597885,0.6351097883597885,0.505,0.505,0.31955092592592593,0.31955092592592593,0.7316666666666667,0.7316666666666667,0.0,0.0,0.0
agent_bsp_memory_bandit_strict,3,1,512,0.6351097883597885,0.6351097883597885,0.505,0.505,0.31955092592592593,0.31955092592592593,0.7316666666666667,0.7316666666666667,0.0,0.0,0.0
agent_bsp_memory_bandit_strict,3,1,512,0.6351097883597885,0.6351097883597885,0.505,0.505,0.31955092592592593,0.31955092592592593,0.7316666666666667,0.7316666666666667,0.0,0.0,0.0
agent_bsp_memory_bandit_strict,4,1,512,0.6351097883597885,0.6351097883597885,0.505,0.505,0.31955092592592593,0.31955092592592593,0.7316666666666667,0.7316666666666667,0.0,0.0,0.0
agent_bsp_memory_bandit_strict,4,1,512,0.6351097883597885,0.6351097883597885,0.505,0.505,0.31955092592592593,0.31955092592592593,0.7316666666666667,0.7316666666666667,0.0,0.0,0.0
agent_bsp_memory_bandit_reader,0,1,512,0.6351097883597885,0.6351097883597885,0.505,0.505,0.31955092592592593,0.31955092592592593,0.7316666666666667,0.7316666666666667,0.0,0.0,0.0
agent_bsp_memory_bandit_reader,0,1,512,0.6351097883597885,0.6351097883597885,0.505,0.505,0.31955092592592593,0.31955092592592593,0.7316666666666667,0.7316666666666667,0.0,0.0,0.0
agent_bsp_memory_bandit_reader,1,1,512,0.6351097883597885,0.6351097883597885,0.505,0.505,0.31955092592592593,0.31955092592592593,0.7316666666666667,0.7316666666666667,0.0,0.0,0.0
agent_bsp_memory_bandit_reader,1,1,512,0.6351097883597885,0.6351097883597885,0.505,0.505,0.31955092592592593,0.31955092592592593,0.7316666666666667,0.7316666666666667,0.0,0.0,0.0
agent_bsp_memory_bandit_reader,2,1,512,0.6351097883597885,0.6351097883597885,0.505,0.505,0.31955092592592593,0.31955092592592593,0.7316666666666667,0.7316666666666667,0.0,0.0,0.0
agent_bsp_memory_bandit_reader,2,1,512,0.6351097883597885,0.6351097883597885,0.505,0.505,0.31955092592592593,0.31955092592592593,0.7316666666666667,0.7316666666666667,0.0,0.0,0.0
agent_bsp_memory_bandit_reader,3,1,512,0.6351097883597885,0.6351097883597885,0.505,0.505,0.31955092592592593,0.31955092592592593,0.7316666666666667,0.7316666666666667,0.0,0.0,0.0
agent_bsp_memory_bandit_reader,3,1,512,0.6351097883597885,0.6351097883597885,0.505,0.505,0.31955092592592593,0.31955092592592593,0.7316666666666667,0.7316666666666667,0.0,0.0,0.0
agent_bsp_memory_bandit_reader,4,1,512,0.6351097883597885,0.6351097883597885,0.505,0.505,0.31955092592592593,0.31955092592592593,0.7316666666666667,0.7316666666666667,0.0,0.0,0.0
agent_bsp_memory_bandit_reader,4,1,512,0.6351097883597885,0.6351097883597885,0.505,0.505,0.31955092592592593,0.31955092592592593,0.7316666666666667,0.7316666666666667,0.0,0.0,0.0
agent_bsp_memory_bandit_retrieval,0,1,512,0.6351097883597885,0.6351097883597885,0.505,0.505,0.31955092592592593,0.31955092592592593,0.7316666666666667,0.7316666666666667,0.0,0.0,0.0
agent_bsp_memory_bandit_retrieval,0,1,512,0.6351097883597885,0.6351097883597885,0.505,0.505,0.31955092592592593,0.31955092592592593,0.7316666666666667,0.7316666666666667,0.0,0.0,0.0
agent_bsp_memory_bandit_retrieval,0,1,512,0.6351097883597885,0.6351097883597885,0.505,0.505,0.31955092592592593,0.31955092592592593,0.7316666666666667,0.7316666666666667,0.0,0.0,0.0
agent_bsp_memory_bandit_retrieval,1,1,512,0.6351097883597885,0.6351097883597885,0.505,0.505,0.31955092592592593,0.31955092592592593,0.7316666666666667,0.7316666666666667,0.0,0.0,0.0
agent_bsp_memory_bandit_retrieval,1,1,512,0.6351097883597885,0.6351097883597885,0.505,0.505,0.31955092592592593,0.31955092592592593,0.7316666666666667,0.7316666666666667,0.0,0.0,0.0
agent_bsp_memory_bandit_retrieval,1,1,512,0.6351097883597885,0.6351097883597885,0.505,0.505,0.31955092592592593,0.31955092592592593,0.7316666666666667,0.7316666666666667,0.0,0.0,0.0
agent_bsp_memory_bandit_retrieval,2,1,512,0.6351097883597885,0.6351097883597885,0.505,0.505,0.31955092592592593,0.31955092592592593,0.7316666666666667,0.7316666666666667,0.0,0.0,0.0
agent_bsp_memory_bandit_retrieval,2,1,512,0.6351097883597885,0.6351097883597885,0.505,0.505,0.31955092592592593,0.31955092592592593,0.7316666666666667,0.7316666666666667,0.0,0.0,0.0
agent_bsp_memory_bandit_retrieval,2,1,512,0.6351097883597885,0.6351097883597885,0.505,0.505,0.31955092592592593,0.31955092592592593,0.7316666666666667,0.7316666666666667,0.0,0.0,0.0
agent_bsp_memory_bandit_retrieval,3,1,512,0.6351097883597885,0.6351097883597885,0.505,0.505,0.31955092592592593,0.31955092592592593,0.7316666666666667,0.7316666666666667,0.0,0.0,0.0
agent_bsp_memory_bandit_retrieval,3,1,512,0.6351097883597885,0.6351097883597885,0.505,0.505,0.31955092592592593,0.31955092592592593,0.7316666666666667,0.7316666666666667,0.0,0.0,0.0
agent_bsp_memory_bandit_retrieval,3,1,512,0.6351097883597885,0.6351097883597885,0.505,0.505,0.31955092592592593,0.31955092592592593,0.7316666666666667,0.7316666666666667,0.0,0.0,0.0
agent_bsp_memory_bandit_retrieval,4,1,512,0.6351097883597885,0.6351097883597885,0.505,0.505,0.31955092592592593,0.31955092592592593,0.7316666666666667,0.7316666666666667,0.0,0.0,0.0
agent_bsp_memory_bandit_retrieval,4,1,512,0.6351097883597885,0.6351097883597885,0.505,0.505,0.31955092592592593,0.31955092592592593,0.7316666666666667,0.7316666666666667,0.0,0.0,0.0
agent_bsp_memory_bandit_retrieval,4,1,512,0.6351097883597885,0.6351097883597885,0.505,0.505,0.31955092592592593,0.31955092592592593,0.7316666666666667,0.7316666666666667,0.0,0.0,0.0
agent_bsp_memory_bandit_strict,0,1,512,0.6351097883597885,0.6351097883597885,0.505,0.505,0.31955092592592593,0.31955092592592593,0.7316666666666667,0.7316666666666667,0.0,0.0,0.0
agent_bsp_memory_bandit_strict,0,1,512,0.6351097883597885,0.6351097883597885,0.505,0.505,0.31955092592592593,0.31955092592592593,0.7316666666666667,0.7316666666666667,0.0,0.0,0.0
agent_bsp_memory_bandit_strict,1,1,512,0.6351097883597885,0.6351097883597885,0.505,0.505,0.31955092592592593,0.31955092592592593,0.7316666666666667,0.7316666666666667,0.0,0.0,0.0
agent_bsp_memory_bandit_strict,1,1,512,0.6351097883597885,0.6351097883597885,0.505,0.505,0.31955092592592593,0.31955092592592593,0.7316666666666667,0.7316666666666667,0.0,0.0,0.0
agent_bsp_memory_bandit_strict,2,1,512,0.6351097883597885,0.6351097883597885,0.505,0.505,0.31955092592592593,0.31955092592592593,0.7316666666666667,0.7316666666666667,0.0,0.0,0.0
agent_bsp_memory_bandit_strict,2,1,512,0.6351097883597885,0.6351097883597885,0.505,0.505,0.31955092592592593,0.31955092592592593,0.7316666666666667,0.7316666666666667,0.0,0.0,0.0
agent_bsp_memory_bandit_strict,3,1,512,0.6351097883597885,0.6351097883597885,0.505,0.505,0.31955092592592593,0.31955092592592593,0.7316666666666667,0.7316666666666667,0.0,0.0,0.0
agent_bsp_memory_bandit_strict,3,1,512,0.6351097883597885,0.6351097883597885,0.505,0.505,0.31955092592592593,0.31955092592592593,0.7316666666666667,0.7316666666666667,0.0,0.0,0.0
agent_bsp_memory_bandit_strict,4,1,512,0.6351097883597885,0.6351097883597885,0.505,0.505,0.31955092592592593,0.31955092592592593,0.7316666666666667,0.7316666666666667,0.0,0.0,0.0
agent_bsp_memory_bandit_strict,4,1,512,0.6351097883597885,0.6351097883597885,0.505,0.505,0.31955092592592593,0.31955092592592593,0.7316666666666667,0.7316666666666667,0.0,0.0,0.0
agent_pm_bandit_slot,0,1,512,0.6351097883597885,0.6351097883597885,0.505,0.505,0.31955092592592593,0.31955092592592593,0.7316666666666667,0.7316666666666667,0.0,0.0,0.0
agent_pm_bandit_slot,1,1,512,0.6351097883597885,0.6351097883597885,0.5066666666666667,0.5066666666666667,0.31955092592592593,0.31955092592592593,0.7316666666666667,0.7316666666666667,0.0,0.0,0.0
agent_pm_bandit_slot,2,1,512,0.6351097883597885,0.6351097883597885,0.505,0.505,0.31955092592592593,0.31955092592592593,0.7316666666666667,0.7316666666666667,0.0,0.0,0.0
agent_pm_bandit_slot,3,1,512,0.6351097883597885,0.6351097883597885,0.505,0.505,0.31955092592592593,0.31955092592592593,0.7316666666666667,0.7316666666666667,0.0,0.0,0.0
agent_pm_bandit_slot,4,1,512,0.6351097883597885,0.6351097883597885,0.5066666666666667,0.5066666666666667,0.31955092592592593,0.31955092592592593,0.7316666666666667,0.7316666666666667,0.0,0.0,0.0
agent_rule_v7,0,1,512,0.6351097883597885,0.6351097883597885,0.5066666666666667,0.5066666666666667,0.31955092592592593,0.31955092592592593,0.7316666666666667,0.7316666666666667,0.0,0.0,0.0
agent_rule_v7,1,1,512,0.6351097883597885,0.6351097883597885,0.5066666666666667,0.5066666666666667,0.31955092592592593,0.31955092592592593,0.7316666666666667,0.7316666666666667,0.0,0.0,0.0
agent_rule_v7,2,1,512,0.6351097883597885,0.6351097883597885,0.5066666666666667,0.5066666666666667,0.31955092592592593,0.31955092592592593,0.7316666666666667,0.7316666666666667,0.0,0.0,0.0
agent_rule_v7,3,1,512,0.6351097883597885,0.6351097883597885,0.5066666666666667,0.5066666666666667,0.31955092592592593,0.31955092592592593,0.7316666666666667,0.7316666666666667,0.0,0.0,0.0
agent_rule_v7,4,1,512,0.6351097883597885,0.6351097883597885,0.5066666666666667,0.5066666666666667,0.31955092592592593,0.31955092592592593,0.7316666666666667,0.7316666666666667,0.0,0.0,0.0
agent_bsp_memory_bandit_retrieval,0,1,512,0.6351097883597885,0.6351097883597885,0.505,0.505,0.31955092592592593,0.31955092592592593,0.7316666666666667,0.7316666666666667,0.0,0.0,0.0
agent_bsp_memory_bandit_retrieval,0,1,512,0.6351097883597885,0.6351097883597885,0.505,0.505,0.31955092592592593,0.31955092592592593,0.7316666666666667,0.7316666666666667,0.0,0.0,0.0
agent_bsp_memory_bandit_retrieval,0,1,512,0.6351097883597885,0.6351097883597885,0.505,0.505,0.31955092592592593,0.31955092592592593,0.7316666666666667,0.7316666666666667,0.0,0.0,0.0
agent_bsp_memory_bandit_retrieval,1,1,512,0.6351097883597885,0.6351097883597885,0.505,0.505,0.31955092592592593,0.31955092592592593,0.7316666666666667,0.7316666666666667,0.0,0.0,0.0
agent_bsp_memory_bandit_retrieval,1,1,512,0.6351097883597885,0.6351097883597885,0.505,0.505,0.31955092592592593,0.31955092592592593,0.7316666666666667,0.7316666666666667,0.0,0.0,0.0
agent_bsp_memory_bandit_retrieval,1,1,512,0.6351097883597885,0.6351097883597885,0.505,0.505,0.31955092592592593,0.31955092592592593,0.7316666666666667,0.7316666666666667,0.0,0.0,0.0
agent_bsp_memory_bandit_retrieval,2,1,512,0.6351097883597885,0.6351097883597885,0.505,0.505,0.31955092592592593,0.31955092592592593,0.7316666666666667,0.7316666666666667,0.0,0.0,0.0
agent_bsp_memory_bandit_retrieval,2,1,512,0.6351097883597885,0.6351097883597885,0.505,0.505,0.31955092592592593,0.31955092592592593,0.7316666666666667,0.7316666666666667,0.0,0.0,0.0
agent_bsp_memory_bandit_retrieval,2,1,512,0.6351097883597885,0.6351097883597885,0.505,0.505,0.31955092592592593,0.31955092592592593,0.7316666666666667,0.7316666666666667,0.0,0.0,0.0
agent_bsp_memory_bandit_retrieval,3,1,512,0.6351097883597885,0.6351097883597885,0.505,0.505,0.31955092592592593,0.31955092592592593,0.7316666666666667,0.7316666666666667,0.0,0.0,0.0
agent_bsp_memory_bandit_retrieval,3,1,512,0.6351097883597885,0.6351097883597885,0.505,0.505,0.31955092592592593,0.31955092592592593,0.7316666666666667,0.7316666666666667,0.0,0.0,0.0
agent_bsp_memory_bandit_retrieval,3,1,512,0.6351097883597885,0.6351097883597885,0.505,0.505,0.31955092592592593,0.31955092592592593,0.7316666666666667,0.7316666666666667,0.0,0.0,0.0
agent_bsp_memory_bandit_retrieval,4,1,512,0.6351097883597885,0.6351097883597885,0.505,0.505,0.31955092592592593,0.31955092592592593,0.7316666666666667,0.7316666666666667,0.0,0.0,0.0
agent_bsp_memory_bandit_retrieval,4,1,512,0.6351097883597885,0.6351097883597885,0.505,0.505,0.31955092592592593,0.31955092592592593,0.7316666666666667,0.7316666666666667,0.0,0.0,0.0
agent_bsp_memory_bandit_retrieval,4,1,512,0.6351097883597885,0.6351097883597885,0.505,0.505,0.31955092592592593,0.31955092592592593,0.7316666666666667,0.7316666666666667,0.0,0.0,0.0
