agent_profile,alpha,avg_budget_topk_hp1,bridge_block_recall_hp1,budget_std_hp1,early_evidence_recall_hp1,event_count,hp1_multihop_score,method,output_dir,rare_client_budget_hp1,run_dir,run_name,seed,selection_diversity_hp1,suite,target_block_recall_hp1,task_name
v7agentpm_rule_dynamic,0.3,3.0,0.43636363636363595,0.0,0.3636363636363635,55,0.5229090909090908,agent_rule_v7_dynamic,/home/iiserver31/projects/FedE4RAG-main/V7-agent-PM/analysis/strict_runs/v7pm_main/num5_dir_a03_imb00_ts0_v7hp1/agent-rule-v7-dynamic_k3_w1_s0_enc0_score-downstream_value_budget-fixed_hist7_client1_block1_hard1_util1_ep1_cov1_mem1_dyn1_ecw000_slotdyn_pmf1r1i1bg1dh0,3.0,/home/iiserver31/projects/FedE4RAG-main/V7-agent-PM/outputs/pprag_fl_v7agentpm/v7pm_main/num5_dir_a03_imb00_ts0_v7hp1/agent-rule-v7-dynamic_k3_w1_s0_enc0_score-downstream_value_budget-fixed_hist7_client1_block1_hard1_util1_ep1_cov1_mem1_dyn1_ecw000_slotdyn_pmf1r1i1bg1dh0,agent-rule-v7-dynamic_k3_w1_s0_enc0_score-downstream_value_budget-fixed_hist7_client1_block1_hard1_util1_ep1_cov1_mem1_dyn1_ecw000_slotdyn_pmf1r1i1bg1dh0,0,0.7,v7pm_main,0.39999999999999974,num5_dir_a03_imb00_ts0_v7hp1
v7agentpm_rule_dynamic,0.3,3.0,0.43636363636363595,0.0,0.3636363636363635,55,0.5229090909090908,agent_rule_v7_dynamic,/home/iiserver31/projects/FedE4RAG-main/V7-agent-PM/analysis/strict_runs/v7pm_main/num5_dir_a03_imb00_ts0_v7hp1/agent-rule-v7-dynamic_k3_w1_s1_enc0_score-downstream_value_budget-fixed_hist7_client1_block1_hard1_util1_ep1_cov1_mem1_dyn1_ecw000_slotdyn_pmf1r1i1bg1dh0,3.0,/home/iiserver31/projects/FedE4RAG-main/V7-agent-PM/outputs/pprag_fl_v7agentpm/v7pm_main/num5_dir_a03_imb00_ts0_v7hp1/agent-rule-v7-dynamic_k3_w1_s1_enc0_score-downstream_value_budget-fixed_hist7_client1_block1_hard1_util1_ep1_cov1_mem1_dyn1_ecw000_slotdyn_pmf1r1i1bg1dh0,agent-rule-v7-dynamic_k3_w1_s1_enc0_score-downstream_value_budget-fixed_hist7_client1_block1_hard1_util1_ep1_cov1_mem1_dyn1_ecw000_slotdyn_pmf1r1i1bg1dh0,1,0.7,v7pm_main,0.39999999999999974,num5_dir_a03_imb00_ts0_v7hp1
v7agentpm_rule_dynamic,0.3,3.0,0.43636363636363595,0.0,0.3636363636363635,55,0.5229090909090908,agent_rule_v7_dynamic,/home/iiserver31/projects/FedE4RAG-main/V7-agent-PM/analysis/strict_runs/v7pm_main/num5_dir_a03_imb00_ts0_v7hp1/agent-rule-v7-dynamic_k3_w1_s2_enc0_score-downstream_value_budget-fixed_hist7_client1_block1_hard1_util1_ep1_cov1_mem1_dyn1_ecw000_slotdyn_pmf1r1i1bg1dh0,3.0,/home/iiserver31/projects/FedE4RAG-main/V7-agent-PM/outputs/pprag_fl_v7agentpm/v7pm_main/num5_dir_a03_imb00_ts0_v7hp1/agent-rule-v7-dynamic_k3_w1_s2_enc0_score-downstream_value_budget-fixed_hist7_client1_block1_hard1_util1_ep1_cov1_mem1_dyn1_ecw000_slotdyn_pmf1r1i1bg1dh0,agent-rule-v7-dynamic_k3_w1_s2_enc0_score-downstream_value_budget-fixed_hist7_client1_block1_hard1_util1_ep1_cov1_mem1_dyn1_ecw000_slotdyn_pmf1r1i1bg1dh0,2,0.7,v7pm_main,0.39999999999999974,num5_dir_a03_imb00_ts0_v7hp1
v7agentpm_rule_dynamic,0.3,3.0,0.43636363636363595,0.0,0.3636363636363635,55,0.5229090909090908,agent_rule_v7_dynamic,/home/iiserver31/projects/FedE4RAG-main/V7-agent-PM/analysis/strict_runs/v7pm_main/num5_dir_a03_imb00_ts0_v7hp1/agent-rule-v7-dynamic_k3_w1_s3_enc0_score-downstream_value_budget-fixed_hist7_client1_block1_hard1_util1_ep1_cov1_mem1_dyn1_ecw000_slotdyn_pmf1r1i1bg1dh0,3.0,/home/iiserver31/projects/FedE4RAG-main/V7-agent-PM/outputs/pprag_fl_v7agentpm/v7pm_main/num5_dir_a03_imb00_ts0_v7hp1/agent-rule-v7-dynamic_k3_w1_s3_enc0_score-downstream_value_budget-fixed_hist7_client1_block1_hard1_util1_ep1_cov1_mem1_dyn1_ecw000_slotdyn_pmf1r1i1bg1dh0,agent-rule-v7-dynamic_k3_w1_s3_enc0_score-downstream_value_budget-fixed_hist7_client1_block1_hard1_util1_ep1_cov1_mem1_dyn1_ecw000_slotdyn_pmf1r1i1bg1dh0,3,0.7,v7pm_main,0.39999999999999974,num5_dir_a03_imb00_ts0_v7hp1
v7agentpm_rule_dynamic,0.3,3.0,0.43636363636363595,0.0,0.3636363636363635,55,0.5229090909090908,agent_rule_v7_dynamic,/home/iiserver31/projects/FedE4RAG-main/V7-agent-PM/analysis/strict_runs/v7pm_main/num5_dir_a03_imb00_ts0_v7hp1/agent-rule-v7-dynamic_k3_w1_s4_enc0_score-downstream_value_budget-fixed_hist7_client1_block1_hard1_util1_ep1_cov1_mem1_dyn1_ecw000_slotdyn_pmf1r1i1bg1dh0,3.0,/home/iiserver31/projects/FedE4RAG-main/V7-agent-PM/outputs/pprag_fl_v7agentpm/v7pm_main/num5_dir_a03_imb00_ts0_v7hp1/agent-rule-v7-dynamic_k3_w1_s4_enc0_score-downstream_value_budget-fixed_hist7_client1_block1_hard1_util1_ep1_cov1_mem1_dyn1_ecw000_slotdyn_pmf1r1i1bg1dh0,agent-rule-v7-dynamic_k3_w1_s4_enc0_score-downstream_value_budget-fixed_hist7_client1_block1_hard1_util1_ep1_cov1_mem1_dyn1_ecw000_slotdyn_pmf1r1i1bg1dh0,4,0.7,v7pm_main,0.39999999999999974,num5_dir_a03_imb00_ts0_v7hp1
v7agent_rule_early_hardquery,0.3,3.0,0.596363636363637,0.0,0.19999999999999987,55,0.5145818181818184,agent_rule_v7,/home/iiserver31/projects/FedE4RAG-main/V7-agent-PM/analysis/strict_runs/v7pm_main/num5_dir_a03_imb00_ts0_v7hp1/agent-rule-v7_k3_w1_s0_enc0_score-downstream_value_budget-fixed_hist7_client1_block1_hard1_util1_ep1_cov1_mem1_dyn0_ecw000_slotdyn_pmf1r1i1bg1dh0,3.0,/home/iiserver31/projects/FedE4RAG-main/V7-agent-PM/outputs/pprag_fl_v7agentpm/v7pm_main/num5_dir_a03_imb00_ts0_v7hp1/agent-rule-v7_k3_w1_s0_enc0_score-downstream_value_budget-fixed_hist7_client1_block1_hard1_util1_ep1_cov1_mem1_dyn0_ecw000_slotdyn_pmf1r1i1bg1dh0,agent-rule-v7_k3_w1_s0_enc0_score-downstream_value_budget-fixed_hist7_client1_block1_hard1_util1_ep1_cov1_mem1_dyn0_ecw000_slotdyn_pmf1r1i1bg1dh0,0,0.6,v7pm_main,0.39818181818181797,num5_dir_a03_imb00_ts0_v7hp1
v7agent_rule_early_hardquery,0.3,3.0,0.596363636363637,0.0,0.19999999999999987,55,0.5145818181818184,agent_rule_v7,/home/iiserver31/projects/FedE4RAG-main/V7-agent-PM/analysis/strict_runs/v7pm_main/num5_dir_a03_imb00_ts0_v7hp1/agent-rule-v7_k3_w1_s1_enc0_score-downstream_value_budget-fixed_hist7_client1_block1_hard1_util1_ep1_cov1_mem1_dyn0_ecw000_slotdyn_pmf1r1i1bg1dh0,3.0,/home/iiserver31/projects/FedE4RAG-main/V7-agent-PM/outputs/pprag_fl_v7agentpm/v7pm_main/num5_dir_a03_imb00_ts0_v7hp1/agent-rule-v7_k3_w1_s1_enc0_score-downstream_value_budget-fixed_hist7_client1_block1_hard1_util1_ep1_cov1_mem1_dyn0_ecw000_slotdyn_pmf1r1i1bg1dh0,agent-rule-v7_k3_w1_s1_enc0_score-downstream_value_budget-fixed_hist7_client1_block1_hard1_util1_ep1_cov1_mem1_dyn0_ecw000_slotdyn_pmf1r1i1bg1dh0,1,0.6,v7pm_main,0.39818181818181797,num5_dir_a03_imb00_ts0_v7hp1
v7agent_rule_early_hardquery,0.3,3.0,0.6000000000000006,0.0,0.19999999999999987,55,0.49600000000000016,agent_rule_v7,/home/iiserver31/projects/FedE4RAG-main/V7-agent-PM/analysis/strict_runs/v7pm_main/num5_dir_a03_imb00_ts0_v7hp1/agent-rule-v7_k3_w1_s2_enc0_score-downstream_value_budget-fixed_hist7_client1_block1_hard1_util1_ep1_cov1_mem1_dyn0_ecw000_slotdyn_pmf1r1i1bg1dh0,3.0,/home/iiserver31/projects/FedE4RAG-main/V7-agent-PM/outputs/pprag_fl_v7agentpm/v7pm_main/num5_dir_a03_imb00_ts0_v7hp1/agent-rule-v7_k3_w1_s2_enc0_score-downstream_value_budget-fixed_hist7_client1_block1_hard1_util1_ep1_cov1_mem1_dyn0_ecw000_slotdyn_pmf1r1i1bg1dh0,agent-rule-v7_k3_w1_s2_enc0_score-downstream_value_budget-fixed_hist7_client1_block1_hard1_util1_ep1_cov1_mem1_dyn0_ecw000_slotdyn_pmf1r1i1bg1dh0,2,0.5,v7pm_main,0.39999999999999974,num5_dir_a03_imb00_ts0_v7hp1
v7agent_rule_early_hardquery,0.3,3.0,0.6000000000000006,0.0,0.19999999999999987,55,0.49600000000000016,agent_rule_v7,/home/iiserver31/projects/FedE4RAG-main/V7-agent-PM/analysis/strict_runs/v7pm_main/num5_dir_a03_imb00_ts0_v7hp1/agent-rule-v7_k3_w1_s3_enc0_score-downstream_value_budget-fixed_hist7_client1_block1_hard1_util1_ep1_cov1_mem1_dyn0_ecw000_slotdyn_pmf1r1i1bg1dh0,3.0,/home/iiserver31/projects/FedE4RAG-main/V7-agent-PM/outputs/pprag_fl_v7agentpm/v7pm_main/num5_dir_a03_imb00_ts0_v7hp1/agent-rule-v7_k3_w1_s3_enc0_score-downstream_value_budget-fixed_hist7_client1_block1_hard1_util1_ep1_cov1_mem1_dyn0_ecw000_slotdyn_pmf1r1i1bg1dh0,agent-rule-v7_k3_w1_s3_enc0_score-downstream_value_budget-fixed_hist7_client1_block1_hard1_util1_ep1_cov1_mem1_dyn0_ecw000_slotdyn_pmf1r1i1bg1dh0,3,0.5,v7pm_main,0.39999999999999974,num5_dir_a03_imb00_ts0_v7hp1
v7agent_rule_early_hardquery,0.3,3.0,0.6000000000000006,0.0,0.19999999999999987,55,0.49600000000000016,agent_rule_v7,/home/iiserver31/projects/FedE4RAG-main/V7-agent-PM/analysis/strict_runs/v7pm_main/num5_dir_a03_imb00_ts0_v7hp1/agent-rule-v7_k3_w1_s4_enc0_score-downstream_value_budget-fixed_hist7_client1_block1_hard1_util1_ep1_cov1_mem1_dyn0_ecw000_slotdyn_pmf1r1i1bg1dh0,3.0,/home/iiserver31/projects/FedE4RAG-main/V7-agent-PM/outputs/pprag_fl_v7agentpm/v7pm_main/num5_dir_a03_imb00_ts0_v7hp1/agent-rule-v7_k3_w1_s4_enc0_score-downstream_value_budget-fixed_hist7_client1_block1_hard1_util1_ep1_cov1_mem1_dyn0_ecw000_slotdyn_pmf1r1i1bg1dh0,agent-rule-v7_k3_w1_s4_enc0_score-downstream_value_budget-fixed_hist7_client1_block1_hard1_util1_ep1_cov1_mem1_dyn0_ecw000_slotdyn_pmf1r1i1bg1dh0,4,0.5,v7pm_main,0.39999999999999974,num5_dir_a03_imb00_ts0_v7hp1
hp1_baseline_hypernet_v6,0.3,3.0,0.5818181818181823,0.0,0.0,55,0.40690909090909105,hypernet_v6,/home/iiserver31/projects/FedE4RAG-main/V7-agent-PM/analysis/strict_runs/v7pm_main/num5_dir_a03_imb00_ts0_v7hp1/hypernet-v6_k3_w1_s0_enc0_score-downstream_value_budget-fixed_hist5_client1_block1_hard1_util1_ep1_cov1_mem1_dyn0_ecw000_slotdyn_pmf1r1i1bg1dh0,3.0,/home/iiserver31/projects/FedE4RAG-main/V7-agent-PM/outputs/pprag_fl_v7agentpm/v7pm_main/num5_dir_a03_imb00_ts0_v7hp1/hypernet-v6_k3_w1_s0_enc0_score-downstream_value_budget-fixed_hist5_client1_block1_hard1_util1_ep1_cov1_mem1_dyn0_ecw000_slotdyn_pmf1r1i1bg1dh0,hypernet-v6_k3_w1_s0_enc0_score-downstream_value_budget-fixed_hist5_client1_block1_hard1_util1_ep1_cov1_mem1_dyn0_ecw000_slotdyn_pmf1r1i1bg1dh0,0,0.4,v7pm_main,0.2909090909090912,num5_dir_a03_imb00_ts0_v7hp1
hp1_baseline_hypernet_v6,0.3,3.0,0.5745454545454551,0.0,0.0,55,0.4040727272727275,hypernet_v6,/home/iiserver31/projects/FedE4RAG-main/V7-agent-PM/analysis/strict_runs/v7pm_main/num5_dir_a03_imb00_ts0_v7hp1/hypernet-v6_k3_w1_s1_enc0_score-downstream_value_budget-fixed_hist5_client1_block1_hard1_util1_ep1_cov1_mem1_dyn0_ecw000_slotdyn_pmf1r1i1bg1dh0,3.0,/home/iiserver31/projects/FedE4RAG-main/V7-agent-PM/outputs/pprag_fl_v7agentpm/v7pm_main/num5_dir_a03_imb00_ts0_v7hp1/hypernet-v6_k3_w1_s1_enc0_score-downstream_value_budget-fixed_hist5_client1_block1_hard1_util1_ep1_cov1_mem1_dyn0_ecw000_slotdyn_pmf1r1i1bg1dh0,hypernet-v6_k3_w1_s1_enc0_score-downstream_value_budget-fixed_hist5_client1_block1_hard1_util1_ep1_cov1_mem1_dyn0_ecw000_slotdyn_pmf1r1i1bg1dh0,1,0.4,v7pm_main,0.28727272727272757,num5_dir_a03_imb00_ts0_v7hp1
hp1_baseline_hypernet_v6,0.3,3.0,0.596363636363637,0.0,0.0,55,0.43258181818181846,hypernet_v6,/home/iiserver31/projects/FedE4RAG-main/V7-agent-PM/analysis/strict_runs/v7pm_main/num5_dir_a03_imb00_ts0_v7hp1/hypernet-v6_k3_w1_s2_enc0_score-downstream_value_budget-fixed_hist5_client1_block1_hard1_util1_ep1_cov1_mem1_dyn0_ecw000_slotdyn_pmf1r1i1bg1dh0,3.0,/home/iiserver31/projects/FedE4RAG-main/V7-agent-PM/outputs/pprag_fl_v7agentpm/v7pm_main/num5_dir_a03_imb00_ts0_v7hp1/hypernet-v6_k3_w1_s2_enc0_score-downstream_value_budget-fixed_hist5_client1_block1_hard1_util1_ep1_cov1_mem1_dyn0_ecw000_slotdyn_pmf1r1i1bg1dh0,hypernet-v6_k3_w1_s2_enc0_score-downstream_value_budget-fixed_hist5_client1_block1_hard1_util1_ep1_cov1_mem1_dyn0_ecw000_slotdyn_pmf1r1i1bg1dh0,2,0.5,v7pm_main,0.2981818181818185,num5_dir_a03_imb00_ts0_v7hp1
hp1_baseline_hypernet_v6,0.3,3.0,0.5927272727272733,0.0,0.0,55,0.41116363636363656,hypernet_v6,/home/iiserver31/projects/FedE4RAG-main/V7-agent-PM/analysis/strict_runs/v7pm_main/num5_dir_a03_imb00_ts0_v7hp1/hypernet-v6_k3_w1_s3_enc0_score-downstream_value_budget-fixed_hist5_client1_block1_hard1_util1_ep1_cov1_mem1_dyn0_ecw000_slotdyn_pmf1r1i1bg1dh0,3.0,/home/iiserver31/projects/FedE4RAG-main/V7-agent-PM/outputs/pprag_fl_v7agentpm/v7pm_main/num5_dir_a03_imb00_ts0_v7hp1/hypernet-v6_k3_w1_s3_enc0_score-downstream_value_budget-fixed_hist5_client1_block1_hard1_util1_ep1_cov1_mem1_dyn0_ecw000_slotdyn_pmf1r1i1bg1dh0,hypernet-v6_k3_w1_s3_enc0_score-downstream_value_budget-fixed_hist5_client1_block1_hard1_util1_ep1_cov1_mem1_dyn0_ecw000_slotdyn_pmf1r1i1bg1dh0,3,0.4,v7pm_main,0.29636363636363666,num5_dir_a03_imb00_ts0_v7hp1
